티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
067080,21000,382724454000,152454,3209219150,18224974,20190131
226950,58800,382430554800,106257,6203957900,6503921,20190131
010170,5170,381244201250,1086167,5643548010,73741625,20190131
122990,15700,379263973700,244124,3809117950,24156941,20190131
033270,23400,379251334800,45302,1062960500,16207322,20190131
265520,26800,377866894800,313826,8466922600,14099511,20190131
215200,32000,376380160000,66826,2132251750,11761880,20190131
293480,23100,374220000000,66350,1525940850,16200000,20190131
072710,80600,373805874000,3966,314239800,4637790,20190131
009580,5980,372962577520,254172,1515747010,62368324,20190131
008730,14950,370760000000,284940,4365126650,24800000,20190131
029960,7370,368500000000,229730,1690954380,50000000,20190131
002390,26600,366109977800,80472,2138805650,13763533,20190131
063080,55500,366033156000,23652,1318586000,6595192,20190131
196170,28900,365389347000,59176,1701110100,12643230,20190131
053030,11500,364907052000,206880,2411436950,31731048,20190131
000400,2685,360541800000,494260,1311806650,134280000,20190131
016580,19350,359911354500,18838,360144850,18600070,20190131
066700,11550,357069901650,299505,3497857300,30915143,20190131
234080,22500,356277465000,43793,974673500,15834554,20190131
237690,19050,355396800000,81072,1549452350,18656000,20190131
025770,9140,354748471020,66581,613308890,38812743,20190131
087010,23100,354042150000,102871,2372340550,15326500,20190131
030610,9830,353880000000,135672,1332602320,36000000,20190131
091810,7470,350901845640,109627,816900130,46974812,20190131
001510,742,350661906882,15312478,11620920302,472590171,20190131
950110,14200,350122868000,77180,1099663400,24656540,20190131
035810,6040,349881200040,534430,3231298330,57927351,20190131
016800,30400,349600000000,1296,39391200,11500000,20190131
031440,90100,348910448000,38889,3483847600,3872480,20190131
006060,6300,348516000000,375114,2315188450,55320000,20190131
094800,3750,348128741250,32424,121163375,92834331,20190131
003300,58000,347758952000,7400,429183100,5995844,20190131
051500,29150,346056731900,55011,1584329250,11871586,20190131
00088K,15350,344945200000,32415,498526250,22472000,20190131
078020,8490,343685303100,12928,109337560,40481190,20190131
099190,25000,343430950000,87346,2163892700,13737238,20190131
043150,23100,343133313600,114285,2638042050,14854256,20190131
100120,34250,342563876250,29969,1026150150,10001865,20190131
080420,8590,342404366490,29053,249362140,39860811,20190131
014620,11950,341770000000,153536,1831282250,28600000,20190131
019210,11100,338621017800,311093,3397945650,30506398,20190131
017960,7690,338058221330,577796,4479874600,43960757,20190131
225570,14050,337248163400,10754738,145373593100,24003428,20190131
268280,64400,336250174400,1210,77568600,5221276,20190131
002250,28300,335579192600,7349,208830000,11857922,20190131
023160,12650,335225000000,131444,1673430500,26500000,20190131
095190,9210,334624203840,2709952,25181620820,36332704,20190131
004980,13900,333717899800,1814426,25255342700,24008482,20190131
092730,44550,332398108350,70629,3110188100,7461237,20190131
000155,75300,332153872200,2308,173206800,4411074,20190131
074600,12600,331228800000,255127,3212342700,26288000,20190131
015750,4115,329200000000,224480,930639435,80000000,20190131
000480,82200,328800000000,1065,87814500,4000000,20190131
038290,30850,327178255900,70031,2156524100,10605454,20190131
003220,17100,326586162600,108702,1842032250,19098606,20190131
016450,8160,326400000000,76893,622015800,40000000,20190131
222040,15750,324891000000,54511,853556150,20628000,20190131
030530,4205,324785710105,223785,935829610,77237981,20190131
178320,17900,324001921400,162434,2877238950,18100666,20190131
017810,84900,323392165500,4936,416283000,3809095,20190131
078520,11950,323049835050,79698,955191100,27033459,20190131
002780,2215,322219915175,195771,432535070,145471745,20190131
166090,16350,320830719900,270514,4491956200,19622674,20190131
101530,11000,320285042000,155048,1710970150,29116822,20190131
001630,63900,320130117900,9404,592386600,5009861,20190131
005720,5950,318586663150,46837,275690770,53543977,20190131
214450,33650,318538202050,18854,633410100,9466217,20190131
037710,199000,318400000000,375,74784500,1600000,20190131
041830,23200,317463742400,100549,2315043700,13683782,20190131
086820,40450,317416246700,72252,2864548550,7847126,20190131
101060,2265,316864870350,36217,82875355,139896190,20190131
215360,34650,316429447950,185361,6426890700,9132163,20190131
182400,12750,316389860250,132011,1692889700,24814891,20190131
036930,6550,316032338600,401981,2677591400,48249212,20190131
063570,9120,315969039360,272667,2475363610,34645728,20190131
000540,4905,315110173725,322332,1558344445,64242645,20190131
008350,2855,314561301950,15831200,47287874905,110179090,20190131
030520,13500,311609848500,159175,2170852200,23082211,20190131
011810,15750,310698706500,51425,810848250,19726902,20190131
001130,183500,310115000000,1069,196810500,1690000,20190131
067280,52200,309377863800,9838,511993000,5926779,20190131
007340,30900,308814754500,850,26348950,9994005,20190131
007160,61500,307500000000,15158,916093700,5000000,20190131
036580,8360,307045603480,75555,622781500,36727943,20190131
005070,15500,306093457500,379014,5944005800,19747965,20190131
086390,14450,305388120700,1117241,16175625100,21134126,20190131
088260,4795,303722924050,28341,135946140,63341590,20190131
